算例,实现,总计（ms）,准备（ms）,makeYbus（ms）,makeSbus（ms）,dSbus_dV（ms）,索引与拼接（ms）,左除（ms）,pfsoln（ms）,int2ext（ms）,其他（ms）
case300,TensorEval/MUMPS,3.517,0.210,0.171,0.082,0.245,0.263,1.887,0.346,0.045,0.269
case300,MATPOWER/LU3,3.690,0.252,0.207,0.036,0.641,0.361,1.600,0.153,0.134,0.306
case1354pegase,TensorEval/MUMPS,9.599,0.418,0.660,0.230,0.599,0.785,5.714,0.653,0.128,0.411
case1354pegase,MATPOWER/LU3,10.889,0.835,0.738,0.081,1.724,1.229,5.089,0.332,0.177,0.684
case13659pegase,TensorEval/MUMPS,128.460,3.576,7.171,2.082,7.988,10.705,86.388,5.493,1.275,3.782
case13659pegase,MATPOWER/LU3,128.798,9.950,6.979,0.638,20.028,14.307,65.817,3.024,1.173,6.882
